	ES.mean	HDAC1.mean	ES_HDAC1
100130_at	203.384979652948	180.895399955255	1.12432366828154
100131_at	49.2742425373444	49.9524877439766	0.986422193623099
100133_at	197.133511002718	197.426483793066	0.998516041086694
100134_at	1434.79062241356	1886.2088600894	0.760674309601934
100136_at	317.91120161218	242.669291846609	1.3100594607295
100138_f_at	778.611038392226	797.341442266749	0.976508929698581
100139_at	372.063750061602	423.101363466999	0.879372609468373
100141_at	265.702933719759	250.839936881946	1.05925291252488
100142_at	510.951036643233	491.002398818939	1.04062839178032
100143_at	200.961603640649	195.392678798266	1.02850119501219
100144_at	8904.0708128935	8378.97334710495	1.0626684730976
100147_at	112.61297946059	120.193547150755	0.936930327210854
100148_at	608.47130461316	640.280598828607	0.950319759377931
100149_at	83.2885811209445	84.3282789483384	0.987670828334694
